Party.ID,Name,Full Name,Japanese Name,Color,Color Groupings
1,LDP,Liberal Democratic Party,,forestgreen,Red-Opposition
2,DPJ,Democratic Party of Japan,,darkred,Yellow-Third Force
3,CGP,Komeito,,yellow,Blue-Right-Leaning
4,JCP,Japanese Communist Party,,red,Purple-Left-Leaning
5,SDP,Social Democratic Party,,deeppink,Orange-LDP offshoot
7,KRA,Kobe Renewal Association,,,
8,OSM,Okinawa Social Mass Party,,,
9,DRP,Democratic Reform Party,,,
10,NP,National Party,,,
11,NFP,New Frontier Party,,darkblue,
12,LP,Liberal Party,,mediumpurple,
13,NCP,New Conservative Party,,darkblue,
14,CF,Culture Forum,,grey50,
15,RC,Reform Club,,blue,
16,NSP,New Socialist Party,,mediumpurple,
17,IC,Independents Club,,grey50,
18,NPS,New Party Sakigake,,grey30,
19,LL,Liberal League,,gold2,
20,PNP,Peoples New Party,,gold2,
21,NPN,New Party Nippon,,orange,
22,NPD,New Party Daichi,,mediumpurple4,
23,RP,Japan Renaissance Party,,blue,
24,YP,Your Party,,mediumpurple,
28,NRP,New Renaissance Party,,blue,
30,JRP,Japan Restoration Party,,darkblue,
31,TPJ,Tomorrow Party of Japan,,gold2,
33,PLP,Peoples Life Party,,gold2,
34,PFG,Party for Future Generations,,blue,
35,JIP,Japan Innovation Party,,darkblue,
36,JRA,Japan Restoration Association,,,
40,POH,Party of Hope,,,
41,CDP,Constitutional Democratic Party,,,
96,IND-LP,LP Associated Independent,,,
97,IND-DP,DP Associated Independent,,,
98,Others,Others,,grey50,
99,IND,Independent,,grey35,
