prefid,pref,block,jpref,jblock,pr96,pr00,pr03,pr05,pr09,pr12,pr14,pr17
1,Hokkaido,HOKKAIDO,,,9,8,8,8,8,8,8,8
2,Aomori,TOHOKU,,,16,14,14,14,14,14,14,13
3,Iwate,TOHOKU,,,16,14,14,14,14,14,14,13
4,Miyagi,TOHOKU,,,16,14,14,14,14,14,14,13
5,Akita,TOHOKU,,,16,14,14,14,14,14,14,13
6,Yamagata,TOHOKU,,,16,14,14,14,14,14,14,13
7,Fukushima,TOHOKU,,,16,14,14,14,14,14,14,13
8,Ibaraki,KITA KANTO,,,21,20,20,20,20,20,20,19
9,Tochigi,KITA KANTO,,,21,20,20,20,20,20,20,19
10,Gunma,KITA KANTO,,,21,20,20,20,20,20,20,19
11,Saitama,KITA KANTO,,,21,20,20,20,20,20,20,19
12,Chiba,MINAMI KANTO,,,23,21,22,22,22,22,22,22
13,Tokyo,TOKYO,,,19,17,17,17,17,17,17,17
14,Kanagawa,MINAMI KANTO,,,23,21,22,22,22,22,22,22
15,Niigata,HOKURIKU-SHINETSU,,,13,11,11,11,11,11,11,11
16,Toyama,HOKURIKU-SHINETSU,,,13,11,11,11,11,11,11,11
17,Ishikawa,HOKURIKU-SHINETSU,,,13,11,11,11,11,11,11,11
18,Fukui,HOKURIKU-SHINETSU,,,13,11,11,11,11,11,11,11
19,Yamanashi,MINAMI KANTO,,,23,21,22,22,22,22,22,22
20,Nagano,HOKURIKU-SHINETSU,,,13,11,11,11,11,11,11,11
21,Gifu,TOKAI,,,23,21,21,21,21,21,21,21
22,Shizuoka,TOKAI,,,23,21,21,21,21,21,21,21
23,Aichi,TOKAI,,,23,21,21,21,21,21,21,21
24,Mie,TOKAI,,,23,21,21,21,21,21,21,21
25,Shiga,KINKI,,,33,30,29,29,29,29,29,28
26,Kyoto,KINKI,,,33,30,29,29,29,29,29,28
27,Osaka,KINKI,,,33,30,29,29,29,29,29,28
28,Hyogo,KINKI,,,33,30,29,29,29,29,29,28
29,Nara,KINKI,,,33,30,29,29,29,29,29,28
30,Wakayama,KINKI,,,33,30,29,29,29,29,29,28
31,Tottori,CHUGOKU,,,13,11,11,11,11,11,11,11
32,Shimane,CHUGOKU,,,13,11,11,11,11,11,11,11
33,Okayama,CHUGOKU,,,13,11,11,11,11,11,11,11
34,Hiroshima,CHUGOKU,,,13,11,11,11,11,11,11,11
35,Yamaguchi,CHUGOKU,,,13,11,11,11,11,11,11,11
36,Tokushima,SHIKOKU,,,7,6,6,6,6,6,6,6
37,Kagawa,SHIKOKU,,,7,6,6,6,6,6,6,6
38,Ehime,SHIKOKU,,,7,6,6,6,6,6,6,6
39,Kochi,SHIKOKU,,,7,6,6,6,6,6,6,6
40,Fukuoka,KYUSHU,,,23,21,21,21,21,21,21,20
41,Saga,KYUSHU,,,23,21,21,21,21,21,21,20
42,Nagasaki,KYUSHU,,,23,21,21,21,21,21,21,20
43,Kumamoto,KYUSHU,,,23,21,21,21,21,21,21,20
44,Oita,KYUSHU,,,23,21,21,21,21,21,21,20
45,Miyazaki,KYUSHU,,,23,21,21,21,21,21,21,20
46,Kagoshima,KYUSHU,,,23,21,21,21,21,21,21,20
47,Okinawa,KYUSHU,,,23,21,21,21,21,21,21,20
