"","pref","Prefecture","Party","Year","Votes","Vote.Total","Actual.Voters","Eligible.Voters","vshare"
"1",23,"Aichi",98,2000,25722,3173103,NA,5452287,0.008106260654003
"2",23,"Aichi",13,2000,60871,3173103,NA,5452287,0.01918343022587
"3",23,"Aichi",5,2000,219203,3173103,NA,5452287,0.069081589850692
"4",23,"Aichi",12,2000,285387,3173103,NA,5452287,0.089939406316152
"5",23,"Aichi",4,2000,333988,3173103,NA,5452287,0.105255959229814
"6",23,"Aichi",3,2000,380177,3173103,NA,5452287,0.119812372935893
"7",23,"Aichi",1,2000,815065,3173103,NA,5452287,0.256866858718422
"8",23,"Aichi",2,2000,1052690,3173103,NA,5452287,0.331754122069154
"9",5,"Akita",13,2000,0,632882,NA,969201,0
"10",5,"Akita",98,2000,5958,632882,NA,969201,0.009414077189745
"11",5,"Akita",4,2000,50979,632882,NA,969201,0.080550560768042
"12",5,"Akita",3,2000,62375,632882,NA,969201,0.098557076990655
"13",5,"Akita",5,2000,81760,632882,NA,969201,0.129186799434966
"14",5,"Akita",12,2000,82725,632882,NA,969201,0.130711570245322
"15",5,"Akita",2,2000,137265,632882,NA,969201,0.216888772314586
"16",5,"Akita",1,2000,211820,632882,NA,969201,0.334691143056684
"17",2,"Aomori",13,2000,0,670498,NA,1186724,0
"18",2,"Aomori",98,2000,14254,670498,NA,1186724,0.021258825529681
"19",2,"Aomori",4,2000,50036,670498,NA,1186724,0.074625129381445
"20",2,"Aomori",3,2000,67596,670498,NA,1186724,0.100814618388123
"21",2,"Aomori",5,2000,78852,670498,NA,1186724,0.117602140498555
"22",2,"Aomori",12,2000,89536,670498,NA,1186724,0.133536565358883
"23",2,"Aomori",2,2000,137616,670498,NA,1186724,0.205244460087875
"24",2,"Aomori",1,2000,232608,670498,NA,1186724,0.346918260755438
"25",12,"Chiba",13,2000,0,2662826,NA,4710962,0
"26",12,"Chiba",98,2000,61575,2662826,NA,4710962,0.023123929239087
"27",12,"Chiba",5,2000,215154,2662826,NA,4710962,0.080799120933925
"28",12,"Chiba",12,2000,301039,2662826,NA,4710962,0.113052448789369
"29",12,"Chiba",4,2000,308506,2662826,NA,4710962,0.115856612486133
"30",12,"Chiba",3,2000,330995,2662826,NA,4710962,0.124302151173227
"31",12,"Chiba",2,2000,710123,2662826,NA,4710962,0.266680211174144
"32",12,"Chiba",1,2000,735434,2662826,NA,4710962,0.276185526204115
"33",38,"Ehime",13,2000,0,697875,NA,1205006,0
"34",38,"Ehime",98,2000,2719,697875,NA,1205006,0.003896113200788
"35",38,"Ehime",4,2000,59890,697875,NA,1205006,0.085817660755866
"36",38,"Ehime",12,2000,71076,697875,NA,1205006,0.101846319183235
"37",38,"Ehime",5,2000,71496,697875,NA,1205006,0.10244814615798
"38",38,"Ehime",3,2000,94609,697875,NA,1205006,0.135567257746731
"39",38,"Ehime",2,2000,138130,697875,NA,1205006,0.197929428622604
"40",38,"Ehime",1,2000,259955,697875,NA,1205006,0.372495074332796
"41",18,"Fukui",13,2000,0,427906,NA,648958,0
"42",18,"Fukui",98,2000,1004,427906,NA,648958,0.002346309703533
"43",18,"Fukui",5,2000,27773,427906,NA,648958,0.064904441629704
"44",18,"Fukui",4,2000,28352,427906,NA,648958,0.066257542544391
"45",18,"Fukui",12,2000,41124,427906,NA,648958,0.096105219370609
"46",18,"Fukui",3,2000,44769,427906,NA,648958,0.104623445336125
"47",18,"Fukui",2,2000,99662,427906,NA,648958,0.232906292503494
"48",18,"Fukui",1,2000,185222,427906,NA,648958,0.432856748912144
"49",40,"Fukuoka",13,2000,0,2286516,NA,3918660,0
"50",40,"Fukuoka",98,2000,50098,2286516,NA,3918660,0.021910190000857
"51",40,"Fukuoka",12,2000,236373,2286516,NA,3918660,0.103376928042489
"52",40,"Fukuoka",4,2000,244598,2286516,NA,3918660,0.106974103833081
"53",40,"Fukuoka",5,2000,270903,2286516,NA,3918660,0.118478506163963
"54",40,"Fukuoka",3,2000,379505,2286516,NA,3918660,0.165975221690992
"55",40,"Fukuoka",1,2000,540430,2286516,NA,3918660,0.236355223405391
"56",40,"Fukuoka",2,2000,564609,2286516,NA,3918660,0.246929826863228
"57",7,"Fukushima",13,2000,0,1095811,NA,1658558,0
"58",7,"Fukushima",98,2000,23975,1095811,NA,1658558,0.021878772890581
"59",7,"Fukushima",4,2000,91469,1095811,NA,1658558,0.08347151105437
"60",7,"Fukushima",5,2000,98336,1095811,NA,1658558,0.089738102647263
"61",7,"Fukushima",3,2000,114175,1095811,NA,1658558,0.104192237530012
"62",7,"Fukushima",12,2000,158558,1095811,NA,1658558,0.144694659936796
"63",7,"Fukushima",2,2000,264463,1095811,NA,1658558,0.241339975597982
"64",7,"Fukushima",1,2000,344835,1095811,NA,1658558,0.314684740342997
"65",21,"Gifu",98,2000,3011,1065720,NA,1663323,0.002825319971475
"66",21,"Gifu",13,2000,4840,1065720,NA,1663323,0.004541530608415
"67",21,"Gifu",5,2000,79444,1065720,NA,1663323,0.074544908606388
"68",21,"Gifu",4,2000,97870,1065720,NA,1663323,0.091834628232556
"69",21,"Gifu",3,2000,115168,1065720,NA,1663323,0.108065908493788
"70",21,"Gifu",12,2000,122400,1065720,NA,1663323,0.114851931088841
"71",21,"Gifu",2,2000,275229,1065720,NA,1663323,0.258256390046166
"72",21,"Gifu",1,2000,367758,1065720,NA,1663323,0.34507938295237
"73",10,"Gunma",13,2000,0,959739,NA,1594415,0
"74",10,"Gunma",98,2000,6913,959739,NA,1594415,0.007202999982287
"75",10,"Gunma",5,2000,80743,959739,NA,1594415,0.084130164555155
"76",10,"Gunma",4,2000,91186,959739,NA,1594415,0.095011247849676
"77",10,"Gunma",12,2000,106087,959739,NA,1594415,0.110537344007069
"78",10,"Gunma",3,2000,106933,959739,NA,1594415,0.111418833662069
"79",10,"Gunma",2,2000,182978,959739,NA,1594415,0.190653917367118
"80",10,"Gunma",1,2000,384899,959739,NA,1594415,0.401045492576628
"81",34,"Hiroshima",13,2000,0,1341179,NA,2282233,0
"82",34,"Hiroshima",98,2000,7996,1341179,NA,2282233,0.005961918580592
"83",34,"Hiroshima",4,2000,111717,1341179,NA,2282233,0.083297606061532
"84",34,"Hiroshima",5,2000,145281,1341179,NA,2282233,0.108323348337545
"85",34,"Hiroshima",12,2000,153866,1341179,NA,2282233,0.114724432756552
"86",34,"Hiroshima",3,2000,208255,1341179,NA,2282233,0.155277558029167
"87",34,"Hiroshima",2,2000,265253,1341179,NA,2282233,0.197775986650551
