"","id","pref","dist","n.can","win","candidate","party","inc","dual","votes","age","turnout","vshare","place","margin","year"
"1",101,1,1,4,2,"<U+6A2A><U+8DEF> <U+5B5D><U+5F18>",2,1,1,132514,NA,261382,0.506974466489659,1,0.216032473544467,2000
"2",101,1,1,4,0,"<U+6728><U+672C> <U+7531><U+5B5D>",1,0,1,76047,NA,261382,0.290941992945191,2,-0.216032473544467,2000
"3",101,1,1,4,0,"<U+5C0F><U+6751> <U+8C9E><U+4E09>",4,0,NA,32267,NA,261382,0.123447674285146,3,-0.383526792204513,2000
"4",101,1,1,4,0,"<U+516B><U+7530> <U+4FE1><U+4E4B>",12,0,1,20554,NA,261382,0.078635866280004,4,-0.428338600209655,2000
"5",102,1,2,6,2,"<U+5409><U+5DDD> <U+8CB4><U+76DB>",1,1,1,76276,NA,244655,0.31176963479185,1,0.0503198381394208,2000
"6",102,1,2,6,0,"<U+77F3><U+7530> <U+5E78><U+5B50>",2,0,1,63965,NA,244655,0.261449796652429,2,-0.0503198381394208,2000
"7",102,1,2,6,0,"<U+7D19>  <U+667A><U+5B50>",4,0,1,60461,NA,244655,0.247127587827757,3,-0.0646420469640923,2000
"8",102,1,2,6,0,"<U+677E><U+6728> <U+8B19><U+516C>",99,0,NA,19775,NA,244655,0.0808281048823854,4,-0.230941529909464,2000
"9",102,1,2,6,0,"<U+6D45><U+91CE> <U+9686><U+96C4>",5,0,1,15722,NA,244655,0.0642619198463142,5,-0.247507714945536,2000
"10",102,1,2,6,0,"<U+85E4><U+7530>  <U+52C9>",19,0,1,8456,NA,244655,0.0345629559992643,6,-0.277206678792585,2000
"11",103,1,3,4,2,"<U+8352><U+4E95>  <U+8061>",2,0,1,96653,NA,238755,0.404820841448347,1,0.0249586396096417,2000
"12",103,1,3,4,0,"<U+77F3><U+5D0E>  <U+5CB3>",1,1,1,90694,NA,238755,0.379862201838705,2,-0.0249586396096417,2000
"13",103,1,3,4,1,"<U+5150><U+7389> <U+5065><U+6B21>",4,1,1,41499,NA,238755,0.17381416095998,3,-0.231006680488367,2000
"14",103,1,3,4,0,"<U+6A2A><U+5C71> <U+5145><U+6D0B>",19,0,1,9909,NA,238755,0.0415027957529685,4,-0.363318045695378,2000
